erdos_renyi/d20_p0.11,m5_d1.0_n10,PC,17,1,16,2,83.66150546073914
erdos_renyi/d20_p0.16,m5_d1.0_n10,PC,14,4,23,6,401.09886479377747
erdos_renyi/d20_p0.22,m5_d1.0_n10,PC,14,2,39,4,849.130743265152
erdos_renyi/d40_p0.05,m5_d1.0_n10,PC,23,5,51,9,625.0945029258728
erdos_renyi/d40_p0.07,m5_d1.0_n10,PC,27,0,56,7,697.5764336585999
erdos_renyi/d40_p0.1,m5_d1.0_n10,PC,13,1,91,5,2157.029063940048
erdos_renyi/d60_p0.03,m5_d1.0_n10,PC,44,7,53,7,1173.9775652885437
erdos_renyi/d60_p0.05,m5_d1.0_n10,PC,32,2,97,3,1097.5269749164581
erdos_renyi/d60_p0.07,m5_d1.0_n10,PC,16,3,138,4,1772.0080218315125
erdos_renyi/d80_p0.03,m5_d1.0_n10,PC,59,2,97,6,1670.9142608642578
erdos_renyi/d80_p0.04,m5_d1.0_n10,PC,28,0,152,8,2150.378814935684
erdos_renyi/d80_p0.05,m5_d1.0_n10,PC,33,3,171,5,3755.624276161194
hailfinder,m3_d5_n10,PC,23,7,31,12,13315.422855854034
