dataname,folder,num_env,gamma2,TMB,mode,etrue,espur,emiss,efals,time
hailfinder,m3_d5_n10,10,0.5,1,n,31,2,11,24,72.45461416244507
hailfinder,m3_d5_n10,10,0.5,1,n,37,0,8,21,68.32758688926697
hailfinder,m3_d5_n10,10,0.5,1,n,33,1,12,21,78.37399291992188
hailfinder,m3_d5_n10,10,0.5,1,n,34,0,13,19,79.07510924339294
hailfinder,m3_d5_n10,10,0.5,1,n,30,0,16,20,86.44490504264832
hailfinder,m3_d5_n10,10,0.5,0,aS,36,10,14,16,78.37132549285889
hailfinder,m3_d5_n10,10,0.5,1,aS,24,1,15,27,59.25152015686035
hailfinder,m3_d5_n10,10,0.5,1,n,32,2,12,22,57.93987488746643
hailfinder,m3_d5_n10,10,0.5,1,n,25,2,13,28,59.79104924201965
hailfinder,m3_d5_n10,10,0.5,1,n,30,1,14,22,60.10370683670044
hailfinder,m3_d5_n10,10,0.5,1,n,39,0,11,16,60.10370683670044
hailfinder,m3_d5_n10,10,0.5,1,n,28,0,13,25,59.39089059829712
hailfinder,m3_d5_n10,10,0.5,0,aS,32,12,18,16,76.96626687049866
hailfinder,m3_d5_n10,10,0.5,0,n,36,11,13,17,74.99091815948486
hailfinder,m3_d5_n10,10,0.5,0,n,34,13,15,17,76.13712763786316
hailfinder,m3_d5_n10,10,0.5,0,n,30,11,16,20,75.61398959159851
hailfinder,m3_d5_n10,10,0.5,0,n,31,14,19,16,76.57126188278198
hailfinder,m3_d5_n10,10,0.5,0,n,31,13,14,21,78.53139305114746
hailfinder,m3_d5_n10,10,0.5,0,n,32,13,20,14,79.97284245491028
hailfinder,m3_d5_n10,10,0.5,0,n,26,10,16,24,75.47526502609253
hailfinder,m3_d5_n10,10,0.5,0,n,32,9,15,19,76.61039853096008
hailfinder,m3_d5_n10,10,0.5,0,n,30,11,16,20,75.94930529594421
hailfinder,m3_d5_n10,10,0.5,0,n,28,9,18,20,77.56210970878601
pathfinder,m3_d5_n10,10,0.5,1,n,155,5,26,14,122.56210970878601
pathfinder,m3_d5_n10,10,0.5,1,n,154,4,25,16,121.46745991706848
pathfinder,m3_d5_n10,10,0.5,1,n,159,3,24,12,117.62934732437134
pathfinder,m3_d5_n10,10,0.5,1,n,152,3,26,17,115.30050587654114
pathfinder,m3_d5_n10,10,0.5,1,n,152,5,29,14,116.13075566291809
pathfinder,m3_d5_n10,10,0.5,1,n,158,5,24,13,116.09268403053284
pathfinder,m3_d5_n10,10,0.5,1,aS,54,4,126,15,81.71332097053528
pathfinder,m3_d5_n10,10,0.5,1,aS,27,1,159,9,81.61066174507141
pathfinder,m3_d5_n10,10,0.5,1,aS,103,6,82,10,89.14544725418091
munin1,m3_d5_n10,10,0.5,1,n,120,4,90,63,212.14544725418091
munin1,m3_d5_n10,10,0.5,1,n,133,7,80,60,238.72886276245117
munin1,m3_d5_n10,10,0.5,1,n,117,4,92,64,242.0188844203949
munin1,m3_d5_n10,10,0.5,1,n,103,7,102,68,240.30495405197144
munin1,m3_d5_n10,10,0.5,1,n,119,7,87,67,236.79654383659363
munin1,m3_d5_n10,10,0.5,1,n,109,8,98,66,240.54937028884888
