dataname,baseline,s,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
notears,MLPNotears,600,142.0,9.666666666666666,0.9798753322769437,0.7794444444444445,0.8681036233951783,153.20593827697965,2.012466772305632,9.668450410139844,3.637606050382281,0.0070273850818700166,0.02202141494203733,0.01105998819474759,13.104512813354557,0.7027385081870089
notears,MLPNotears,700,175.0,9.666666666666666,0.9822770212375588,0.7638095238095238,0.8591115193864907,162.68760343922511,1.7722978762441268,24.506532462454437,2.3556268333031394,0.003947747794205139,0.03634012169000605,0.02280111866359677,12.236656182466408,0.39477477942051503
notears,MLPNotears,800,217.75,5.75,0.9902899426392414,0.735,0.8436167093881624,144.0462093790372,0.9710057360758565,18.92482936955223,1.8551100596280894,0.0032330221697538164,0.02274237051555239,0.015429848190098738,23.841449133291615,0.3233022169753832
notears,MLPNotears,900,242.25,10.0,0.985273127515498,0.7419444444444445,0.8464645029554352,200.78650208413603,1.4726872484502018,8.887795002136356,5.77008376600086,0.008415697964843647,0.003913441014776089,0.005404262547302156,16.006646796322475,0.8415697964843667
notears,MLPNotears,1000,288.3333333333333,9.333333333333334,0.9872307400685805,0.721,0.8333675032363197,222.77561633057064,1.2769259931419568,7.362692744128642,4.711253666606279,0.0063986130032613504,0.002993949454037818,0.004084819788496126,11.56674289572323,0.639861300326133
notears,Notears,600,311.0,0.0,0.993127147766323,0.48327759197324416,0.6501687289088864,118.63039542039235,0.0,0.0,0.0,0.0,0.0,0.0,5.414876496156057,0.0
notears,Notears,700,372.0,0.0,0.9939393939393939,0.4699140401146132,0.6381322957198444,123.66618918975195,0.0,0.0,0.0,0.0,0.0,0.0,19.395685938994077,0.0
notears,Notears,800,420.0,0.0,1.0,0.475,0.6440677966101694,154.1865976035595,0.0,0.0,0.0,0.0,0.0,0.0,31.014154121001557,0.0
notears,Notears,900,490.0,0.0,1.0,0.45555555555555555,0.6259541984732825,178.5215703288714,0.0,0.0,0.0,0.0,0.0,0.0,11.07485483264922,0.0
notears,Notears,1000,556.0,0.0,0.9955156950672646,0.44488977955911824,0.6149584487534626,183.15902649760247,0.0,0.0,0.0,0.0,0.0,0.0,1.7717758983770933,0.0
