dataname,baseline,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
alarm,CDNOD,92.0,50.0,0.06666666666666667,0.10000000000000002,0.08,9.775155703226725,83.33333333333334,0.0,0.0,0.0,0.0,0.0,10.455792618752522,0.0
alarm,Chow-Liu,71.0,30.0,0.1388888888888889,0.1111111111111111,0.12345679012345678,11.831654946009317,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.2162400044925594,0.0
alarm,GES,97.0,58.666666666666664,0.10897414038079001,0.18389469608981804,0.13676278159036778,33.96370323499044,82.98721227621483,4.9325584977102235,4.284193169210639,0.015358319354877732,0.012899728997289962,0.015769103739733926,3.594917600352294,1.0030252958281303
alarm,GIES,40.666666666666664,31.666666666666668,0.5004335009537021,0.9101521784448613,0.6454554465259192,3.2970155080159507,42.77209409860702,1.3066666666666669,1.3066666666666673,0.01257499566499046,0.015117781947050235,0.007188026563584095,0.4304340244407836,0.6004277209409848
alarm,PC,35.666666666666664,11.666666666666666,0.5251580849141825,0.5841631104789,0.5525499850908928,503.2120719750722,27.646793134598013,2.3556268333031394,2.3556268333031394,0.03634516946672128,0.010222854433380746,0.01615855763232013,21.210449161129592,3.549292470201369
andes,GIES,147.0,59.0,0.7163323782234957,0.8389261744966443,0.7727975270479134,12.585432410240173,16.9054441260745,0.0,0.0,0.0,0.0,0.0,0.4991429662704459,0.0
asia,CDNOD,9.0,5.0,0.4000000000000001,0.5714285714285714,0.4705882352941176,0.10890881220499671,50.0,0.0,0.0,0.0,0.0,0.0,0.04051207450643013,0.0
asia,Chow-Liu,7.0,3.0,0.5714285714285714,0.5,0.5333333333333333,2.992021401723226,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.6260112346306693,0.0
asia,GES,8.333333333333334,4.0,0.4444444444444444,0.5,0.4666666666666666,0.8140058517456055,48.14814814814815,0.6533333333333334,0.0,0.1088888888888889,0.0,0.06533333333333331,0.24355503262883046,3.6296296296296306
asia,GIES,2.0,1.0,0.7777777777777778,1.0,0.8750000000000001,2.3574812412261963,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asia,PC,3.0,0.0,0.625,1.0,0.7692307692307693,4.2643327713012695,0.0,0.0,0.0,0.0,0.0,0.0,0.10645451541859989,0.0
barley,CDNOD,121.0,37.0,0.0,0.0,0.0,8.641364097595215,97.36842105263158,0.0,0.0,0.0,0.0,0.0,1.795053432992165,0.0
barley,Chow-Liu,117.0,40.0,0.14893617021276595,0.08333333333333333,0.10687022900763359,16.799153327941895,85.1063829787234,0.0,0.0,0.0,0.0,0.0,0.4177715136827517,0.0
barley,GES,192.0,118.0,0.07177606665823678,0.1376204972095383,0.09434102203811762,89.55264139175415,84.69061938238492,1.1316065276116665,1.1316065276116665,0.0008874528077552812,0.001243023845763583,0.0005035759624240909,4.751437925399578,0.29418237883104703
barley,GIES,66.0,43.0,0.5258620689655172,0.8472222222222222,0.648936170212766,3.4145671923955283,37.06896551724138,0.0,0.0,0.0,0.0,0.0,0.8413659855405218,0.0
barley,PC,58.333333333333336,9.333333333333334,0.6688578088578089,0.4605263157894737,0.5452726786219153,761.057201464971,17.804195804195803,1.728557523228866,1.3066666666666669,0.015276079563558633,0.02578947368421053,0.0198038866493211,9.471362350168157,1.8650634874753083
cancer,CDNOD,2.0,1.0,0.6,1.0,0.7499999999999999,0.03779586156209303,20.0,0.0,0.0,0.0,0.0,0.0,0.0018399308725515627,0.0
cancer,Chow-Liu,2.0,1.0,0.75,0.75,0.75,2.021125555038452,25.0,0.0,0.0,0.0,0.0,0.0,0.03964112535744034,0.0
cancer,GES,1.0,1.0,0.8000000000000002,1.0,0.888888888888889,0.25292158126831055,20.0,0.0,0.0,0.0,0.0,0.0,0.01919489436371285,0.0
cancer,GIES,2.0,1.0,0.6,1.0,0.7499999999999999,2.2902815341949463,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cancer,PC,3.0,1.0,0.4000000000000001,1.0,0.5185185185185186,1.1038784980773926,20.0,1.9599999999999997,0.0,0.39200000000000007,0.0,0.36296296296296293,0.06940634454655438,0.0
child,CDNOD,44.0,21.0,0.08,0.08695652173913043,0.08333333333333333,1.1161375840504963,84.0,0.0,0.0,0.0,0.0,0.0,0.4393984427521585,0.0
child,Chow-Liu,40.0,17.0,0.10526315789473684,0.08,0.0909090909090909,5.867355982462565,89.47368421052632,0.0,0.0,0.0,0.0,0.0,0.046171581793198635,0.0
child,GES,48.333333333333336,26.333333333333332,0.10229885057471265,0.12,0.11043771043771045,6.6099332968393965,89.77011494252874,0.6533333333333339,0.653333333333333,0.0022528735632183806,0.0,0.0013198653198653147,0.19866486794311036,0.22528735632183344
child,GIES,6.0,0.0,0.826086956521739,0.9047619047619048,0.8636363636363636,1.7763797283172607,0.0,0.0,0.0,0.0,0.0,0.0,0.358446122747957,0.0
child,PC,9.666666666666666,0.0,0.8042328042328042,0.7171717171717171,0.7577022460743391,93.33930047353108,0.0,2.6133333333333337,0.0,0.0518518518518518,0.09898989898989904,0.07791691512621747,2.6357006630497595,0.0
hailfinder,GIES,31.0,14.0,0.6533333333333333,0.9074074074074074,0.7596899224806202,3.5525882244110107,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insurance,CDNOD,74.0,27.0,0.15151515151515152,0.09803921568627451,0.11904761904761903,6.0380787054697675,81.81818181818183,0.0,0.0,0.0,0.0,0.0,1.8002341491196188,0.0
insurance,Chow-Liu,68.0,19.0,0.11538461538461538,0.0625,0.08108108108108109,8.13187607129415,73.07692307692307,0.0,0.0,0.0,0.0,0.0,0.08277060687679638,0.0
insurance,GES,99.33333333333333,52.666666666666664,0.08474148802017656,0.11115935735996525,0.09616634178037686,20.725914239883423,84.52290878520387,1.3066666666666678,1.306666666666666,0.037568726355611606,0.051063829787234026,0.0433008447043535,0.3101868303802795,1.4170659941151609
insurance,GIES,38.0,21.0,0.5384615384615384,0.813953488372093,0.6481481481481481,2.7360827922821045,32.30769230769231,0.0,0.0,0.0,0.0,0.0,0.5754406194517945,0.0
insurance,PC,33.666666666666664,0.0,0.6706349206349206,0.42635658914728686,0.5212608987256875,450.2666192849477,0.0,0.6533333333333321,0.0,0.007777777777777841,0.015193798449612383,0.013671361502347346,19.43566087405654,0.0
munin,GIES,1235.0,926.0,0.49771271729185723,0.8881632653061224,0.6379360891234243,461.5054732163747,42.360475754803296,0.0,0.0,0.0,0.0,0.0,15.211107513721268,0.0
munin1,GIES,117.0,57.0,0.714765100671141,0.8693877551020408,0.7845303867403316,9.534718990325928,19.12751677852349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathfinder,GIES,1156.0,1093.0,0.1050955414012739,0.804878048780488,0.18591549295774654,19.291725436846416,87.02229299363057,0.0,0.0,0.0,0.0,0.0,0.4232084988944932,0.0
sachs,CDNOD,25.0,13.0,0.25,0.3333333333333333,0.28571428571428575,0.4369402726491292,65.0,0.0,0.0,0.0,0.0,0.0,0.0561945238532408,0.0
sachs,Chow-Liu,21.0,5.0,0.10000000000000002,0.07692307692307693,0.08695652173913043,5.4050601323445635,50.0,0.0,0.0,0.0,0.0,0.0,0.049540509615709535,0.0
sachs,GES,28.0,13.0,0.10526315789473684,0.15384615384615385,0.125,2.706435759862264,68.42105263157895,0.0,0.0,0.0,0.0,0.0,0.03189817026731134,0.0
sachs,GIES,14.0,7.0,0.5263157894736842,0.6666666666666666,0.5882352941176471,1.5433099269866943,36.84210526315789,0.0,0.0,0.0,0.0,0.0,0.36739323934480794,0.0
sachs,PC,10.333333333333334,0.6666666666666666,0.4666666666666666,0.7833333333333333,0.5841694537346712,51.98856520652771,4.166666666666667,0.653333333333333,0.6533333333333334,0.06533333333333331,0.03266666666666668,0.061181716833890724,1.841327854556613,4.083333333333333
survey,CDNOD,5.0,2.0,0.375,1.0,0.5454545454545454,0.0823310216267903,25.0,0.0,0.0,0.0,0.0,0.0,0.024487338985149334,0.0
survey,Chow-Liu,9.0,4.0,0.20000000000000004,0.16666666666666666,0.1818181818181818,2.465016523996989,80.0,0.0,0.0,0.0,0.0,0.0,0.4532870332802229,0.0
survey,GES,8.0,2.0,0.0,0.0,0.0,0.4602838357289632,25.0,0.0,0.0,0.0,0.0,0.0,0.009336550652439298,0.0
survey,GIES,1.0,1.0,0.8571428571428571,1.0,0.923076923076923,2.2158637046813965,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
survey,PC,2.0,1.0,0.7142857142857143,1.0,0.8278943278943278,2.6873645782470703,14.285714285714285,1.1316065276116665,0.0,0.16165807537309523,0.0,0.11091480422708445,0.19199663217037166,0.0
water,CDNOD,71.0,7.0,0.08333333333333333,0.0392156862745098,0.05333333333333332,5.382080157597859,29.166666666666668,0.0,0.0,0.0,0.0,0.0,1.4098239415418499,0.0
water,Chow-Liu,95.0,30.0,0.03225806451612903,0.015151515151515152,0.020618556701030927,9.85987408955892,96.77419354838712,0.0,0.0,0.0,0.0,0.0,0.03486447309900793,0.0
water,GES,35.666666666666664,28.666666666666668,0.6276595744680851,0.9885057471264368,0.7677198862258284,37.65092706680298,30.496453900709223,4.284193169210639,1.3066666666666669,0.03185052610678531,0.0225287356321839,0.030586590585639162,1.9778150000423742,1.390070921985816
water,GIES,47.333333333333336,32.333333333333336,0.5565066512434934,0.8845443349753696,0.6830525801146718,3.1026675701141357,35.26894158473106,0.6533333333333328,0.6533333333333328,0.007708502024291477,0.01025862068965518,0.0029619094181963495,0.5052282193995751,0.20404858299595272
water,PC,54.333333333333336,4.333333333333333,0.6317948717948718,0.26229508196721313,0.3706673794885503,573.7573411464691,17.076923076923077,0.6533333333333339,0.6533333333333333,0.016082051282051233,0.0,0.002794261783836768,16.131940484982646,2.110769230769232
