mode,s,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
aS,500,170.5,3.0,0.8574788378568169,0.742106899599775,0.7955722305909741,7.170266661246617,0.7735489743995061,9.282163062083704,0.9690499356471667,0.011711389718570058,0.015479442029088401,0.013506182532440137,0.24171506443321256,0.24793259704293308
aS,600,230.8,12.2,0.8350294179178214,0.7100344061680085,0.7674375192830916,8.340264730453493,2.6759311046940533,16.484986624198395,2.268864032946884,0.019448426153506365,0.020682640261886154,0.01974922567664925,0.03512325410234896,0.513457702356299
aS,700,296.6,22.4,0.8110400722589481,0.6832139893205631,0.7416330425019232,9.061699090798696,4.26416602532707,7.80562463868203,2.2000945434230768,0.009978406116253575,0.00868817136018197,0.008215886360832377,0.018013919217855674,0.39195832025224436
aS,800,380.4,32.2,0.7783008753860112,0.6420741966761833,0.7036269247191441,10.364934289455414,5.550658593497896,12.891377583485797,1.9002905041072005,0.00963473889608309,0.014690562115821775,0.0125522996262824,0.142589530100233,0.3622117978697871
aS,900,455.4,39.0,0.769642212387852,0.6086682483360952,0.6796921701457201,11.288389957745869,6.206251850942179,15.514981662896032,3.5605168164186507,0.013828840123769863,0.016827884983662608,0.014930958935607056,0.10429087993784258,0.5240124421049968
aS,1000,531.2,47.4,0.7653431446339033,0.5802266833827829,0.6600442912400599,13.844391481081644,7.039658186920934,24.70999603399401,4.320899906269526,0.020009746764746206,0.018767615979556604,0.019580362419660147,0.02447476225422472,0.7234182462064723
n,500,240.1,8.1,0.6441780348954925,0.7437406869947725,0.6903318004341488,6.8272042938073465,1.9466385036301115,7.463171682036771,0.7420440238512358,0.013690482473686628,0.01266750764553659,0.012761555860773443,0.10287139764236572,0.17163985552310587
n,600,306.2,16.6,0.6439777092178922,0.696433980393964,0.6691214729319912,9.169885404904685,3.4408187890396307,18.201636849470432,2.600233835638633,0.02229529444140227,0.03173944353009496,0.026270669032473628,0.053948736293726506,0.5031984701693792
n,700,385.4,28.2,0.6241737387716195,0.6565143805048205,0.6399235456567488,10.452283124923706,5.138140551993425,14.753476064982111,3.7904596027394883,0.016561531550173272,0.01949121064982237,0.01778670470955034,0.08038048662439422,0.7012685418479547
n,800,426.8,33.8,0.6614463426152947,0.6503786978780456,0.6558520102981474,11.658706943194073,5.4961628625582275,17.102614536964804,2.7994399439887974,0.019386143183773533,0.015016036315793041,0.017015235855227153,0.07526506568655134,0.4724930226370819
n,900,517.0,43.8,0.6606775846645176,0.588760641574215,0.6226093565857871,12.640976793766022,6.782083496529205,15.016721346552313,1.9002905041072005,0.011594468822247857,0.018447897800894217,0.015273069497535617,0.15335564277360383,0.26234081677504056
n,1000,539.6,41.4,0.7012683206376051,0.6061994024042003,0.6502299766321317,15.187841816743212,5.779128137817422,19.039258809102833,7.1908230405149025,0.02137494461430973,0.009919664661837836,0.014682749832276009,0.09927997241828615,0.9665083713262114
